frame,object_id,model_name,"position(x,y,z)","velocity(x,y,z)","angular_velocity(x,y,z)","scale(x,y,z)",speed,angular_speed,is_target,vel_change_magnitude,pos_change_magnitude
0,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
1,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
2,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
3,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
4,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
5,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
6,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
7,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
8,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
9,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
10,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
11,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
12,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
13,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
14,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
15,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
16,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
17,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
18,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
19,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
20,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
21,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
22,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
23,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
24,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
25,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
26,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
27,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
28,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
29,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
30,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
31,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
32,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
33,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
34,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
35,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
36,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
37,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
38,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
39,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
40,1,cube,[ 2.          0.         -0.05314783],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
