frame,object_id,model_name,"position(x,y,z)","velocity(x,y,z)","angular_velocity(x,y,z)","scale(x,y,z)",speed,angular_speed,is_target,vel_change_magnitude,pos_change_magnitude
0,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
1,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
2,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
3,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
4,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
5,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
6,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
7,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
8,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
9,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
10,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
11,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
12,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
13,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
14,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
15,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
16,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
17,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
18,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
19,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
20,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
21,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
22,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
23,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
24,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
25,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
26,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
27,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
28,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
29,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
30,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
31,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
32,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
33,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
34,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
35,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
36,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
37,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
38,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
39,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
40,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
41,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
42,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
43,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
44,1,cube,[ 2.         0.        -0.2309361],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
0,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -3.8101689e-08],[ 9.0501726e-07 -1.0430813e-07 -8.1951578e-07],[-2.6123471e-06  6.4535413e-07 -3.3210813e-06],[0.25 0.5  0.25],1.2253745e-06,4.2743914e-06,True,0.0,0.0
1,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -2.4692689e-08],[ 1.8694940e-06 -5.1409006e-07 -5.8807416e-08],[ 2.9742023e-07  4.1511959e-07 -7.0042261e-06],[0.25 0.5  0.25],1.9397821e-06,7.0228175e-06,True,1.2949184338140185e-06,1.3409000132469373e-08
2,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -1.1509446e-08],[ 2.2532513e-06 -2.2351742e-07  6.4253362e-07],[ 2.6126463e-06 -1.7884190e-08 -8.8879415e-06],[0.25 0.5  0.25],2.35371e-06,9.264003e-06,True,8.506358994964103e-07,1.3183242941749995e-08
3,2,pentagon,[ 1.0000000e+00  2.0861626e-07 -4.2768335e-08],[ 1.6933192e-06 -1.5646219e-07 -4.1769823e-07],[-1.1434938e-06  5.8915430e-07 -6.6334997e-06],[0.25 0.5  0.25],1.7510803e-06,6.7570704e-06,True,1.2008796375084785e-06,4.3189078979821716e-08
4,2,pentagon,[ 1.000000e+00  2.682209e-07 -3.453455e-08],[ 1.2301419e-06 -1.4901161e-07 -4.7068824e-07],[-1.2276303e-06  5.5378024e-07 -4.4360822e-06],[0.25 0.5  0.25],1.3255192e-06,4.6360087e-06,True,4.6625805794064945e-07,6.017066311869712e-08
5,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -3.0891648e-08],[ 2.2099714e-06 -2.5108457e-06 -4.0071589e-07],[-1.2771264e-06  2.2965858e-07 -8.5019292e-06],[0.25 0.5  0.25],3.3688118e-06,8.600383e-06,True,2.5579722660040716e-06,3.002414317165858e-08
6,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -2.2698071e-08],[ 2.2607533e-06 -8.9406967e-08 -1.3525565e-07],[-9.6265353e-08  4.2441172e-07 -8.7733888e-06],[0.25 0.5  0.25],2.2665597e-06,8.784175e-06,True,2.4364755972783314e-06,8.193577372139771e-09
7,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -2.8624687e-08],[ 2.4971234e-06 -9.6857548e-08 -5.8117195e-08],[ 2.5306701e-07  4.6390142e-07 -9.7071725e-06],[0.25 0.5  0.25],2.4996768e-06,9.721545e-06,True,2.487502968051558e-07,5.926615642692923e-09
8,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -2.5497460e-08],[ 2.318545e-06 -8.940697e-08 -4.419637e-07],[-1.2828441e-06  4.2312215e-07 -8.9105442e-06],[0.25 0.5  0.25],2.3619857e-06,9.012354e-06,True,4.2341926587141643e-07,3.1272264777726377e-09
9,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -2.2464782e-08],[ 2.3228915e-06 -1.1920929e-07 -3.5508134e-07],[-9.671860e-07  4.334457e-07 -9.020010e-06],[0.25 0.5  0.25],2.3528958e-06,9.082065e-06,True,9.195440497933305e-08,3.03267810863872e-09
10,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -2.3788026e-08],[ 2.3725854e-06 -6.7055225e-08 -3.0505015e-07],[-7.020816e-07  5.024672e-07 -9.201585e-06],[0.25 0.5  0.25],2.3930554e-06,9.242e-06,True,8.770773973765245e-08,1.3232437368060346e-09
11,2,pentagon,[ 1.0000000e+00  2.3841858e-07 -2.5168188e-08],[ 2.2133859e-06 -5.6624413e-07 -4.9417747e-07],[-1.2376922e-06  6.2465494e-07 -8.2996503e-06],[0.25 0.5  0.25],2.337503e-06,8.414646e-06,True,5.570486791839357e-07,1.3801617626540974e-09
