frame,object_id,model_name,"position(x,y,z)","velocity(x,y,z)","angular_velocity(x,y,z)","scale(x,y,z)",speed,angular_speed,is_target,vel_change_magnitude,pos_change_magnitude
0,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
1,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
2,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
3,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
4,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
5,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
6,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
7,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
8,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
9,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
10,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
11,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
12,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
13,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
14,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
15,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
16,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
17,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
18,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
19,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
20,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
21,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
22,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
23,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
24,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
25,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
26,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
27,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
28,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
29,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
30,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
31,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
32,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
33,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
34,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
35,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
36,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
37,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
38,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
39,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
40,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
41,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
42,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
43,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
44,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
0,2,bowl,[ 0.19492136  1.4290209  -0.09038135],[ 0.     -0.0981  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.0981,0.0,True,0.0,0.0
1,2,bowl,[ 0.19492136  1.4270589  -0.09038135],[ 0.     -0.1962  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.1962,0.0,True,0.09809999912977219,0.001961946487426758
2,2,bowl,[ 0.19492136  1.4241159  -0.09038135],[ 0.     -0.2943  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.2943,0.0,True,0.09809999167919159,0.0029430389404296875
3,2,bowl,[ 0.19492136  1.4201919  -0.09038135],[ 0.     -0.3924  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.3924,0.0,True,0.09810000658035278,0.003924012184143066
4,2,bowl,[ 0.19492136  1.4152869  -0.09038135],[ 0.     -0.4905  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.4905,0.0,True,0.09810000658035278,0.004904985427856445
5,2,bowl,[ 0.19492136  1.4094009  -0.09038135],[ 0.     -0.5886  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.5886,0.0,True,0.0980999767780304,0.005885958671569824
6,2,bowl,[ 0.19492136  1.4025339  -0.09038135],[ 0.     -0.6867  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.6867,0.0,True,0.09810000658035278,0.006867051124572754
7,2,bowl,[ 0.19492136  1.3946859  -0.09038135],[ 0.     -0.7848  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.7848,0.0,True,0.09810000658035278,0.007848024368286133
8,2,bowl,[ 0.19492136  1.3858569  -0.09038135],[ 0.     -0.8829  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.8829,0.0,True,0.09810000658035278,0.008828997611999512
9,2,bowl,[ 0.19492136  1.3760469  -0.09038135],[ 0.    -0.981  0.   ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],0.981,0.0,True,0.09810000658035278,0.00980997085571289
10,2,bowl,[ 0.19492136  1.365256   -0.09038135],[ 0.     -1.0791  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.0791,0.0,True,0.09810000658035278,0.01079094409942627
11,2,bowl,[ 0.19492136  1.3534839  -0.09038135],[ 0.     -1.1772  0.    ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.1772,0.0,True,0.09809994697570801,0.0117720365524292
12,2,bowl,[ 0.19492136  1.3407309  -0.09038135],[ 0.        -1.2752999  0.       ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.2752999,0.0,True,0.09809994697570801,0.012753009796142578
13,2,bowl,[ 0.19492136  1.3269969  -0.09038135],[ 0.        -1.3733999  0.       ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.3733999,0.0,True,0.09809994697570801,0.013733983039855957
14,2,bowl,[ 0.19492136  1.312282   -0.09038135],[ 0.        -1.4714998  0.       ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.4714998,0.0,True,0.09809994697570801,0.014714956283569336
15,2,bowl,[ 0.19492136  1.2965859  -0.09038135],[ 0.        -1.5695997  0.       ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.5695997,0.0,True,0.09809994697570801,0.015696048736572266
16,2,bowl,[ 0.19492136  1.2799089  -0.09038135],[ 0.        -1.6676997  0.       ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.6676997,0.0,True,0.09809994697570801,0.016677021980285645
17,2,bowl,[ 0.19492136  1.2622509  -0.09038135],[ 0.        -1.7657996  0.       ],[0. 0. 0.],[0.27040303 0.27040303 0.27040303],1.7657996,0.0,True,0.09809994697570801,0.017657995223999023
