frame,object_id,model_name,"position(x,y,z)","velocity(x,y,z)","angular_velocity(x,y,z)","scale(x,y,z)",speed,angular_speed,is_target,vel_change_magnitude,pos_change_magnitude
0,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
1,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
2,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
3,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
4,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
5,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
6,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
7,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
8,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
9,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
10,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
11,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
12,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
13,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
14,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
15,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
16,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
17,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
18,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
19,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
20,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
21,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
22,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
23,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
24,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
25,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
26,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
27,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
28,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
29,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
30,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
31,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
32,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
33,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
34,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
35,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
36,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
37,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
38,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
39,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
40,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
41,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
42,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
43,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
44,1,cube,[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[2.   0.01 2.  ],0.0,0.0,False,0.0,0.0
0,2,pipe,[0.08691333 1.4857681  0.01025   ],[ 0.     -0.0981  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.0981,0.0,True,0.0,0.0
1,2,pipe,[0.08691333 1.4838061  0.01025   ],[ 0.     -0.1962  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.1962,0.0,True,0.09809999912977219,0.001961946487426758
2,2,pipe,[0.08691333 1.4808631  0.01025   ],[ 0.     -0.2943  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.2943,0.0,True,0.09809999167919159,0.0029430389404296875
3,2,pipe,[0.08691333 1.4769391  0.01025   ],[ 0.     -0.3924  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.3924,0.0,True,0.09810000658035278,0.003924012184143066
4,2,pipe,[0.08691333 1.4720341  0.01025   ],[ 0.     -0.4905  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.4905,0.0,True,0.09810000658035278,0.004904985427856445
5,2,pipe,[0.08691333 1.4661481  0.01025   ],[ 0.     -0.5886  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.5886,0.0,True,0.0980999767780304,0.005885958671569824
6,2,pipe,[0.08691333 1.4592811  0.01025   ],[ 0.     -0.6867  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.6867,0.0,True,0.09810000658035278,0.006867051124572754
7,2,pipe,[0.08691333 1.4514331  0.01025   ],[ 0.     -0.7848  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.7848,0.0,True,0.09810000658035278,0.007848024368286133
8,2,pipe,[0.08691333 1.4426041  0.01025   ],[ 0.     -0.8829  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.8829,0.0,True,0.09810000658035278,0.008828997611999512
9,2,pipe,[0.08691333 1.4327941  0.01025   ],[ 0.    -0.981  0.   ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],0.981,0.0,True,0.09810000658035278,0.00980997085571289
10,2,pipe,[0.08691333 1.4220031  0.01025   ],[ 0.     -1.0791  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],1.0791,0.0,True,0.09810000658035278,0.01079094409942627
11,2,pipe,[0.08691333 1.4102311  0.01025   ],[ 0.     -1.1772  0.    ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],1.1772,0.0,True,0.09809994697570801,0.0117720365524292
12,2,pipe,[0.08691333 1.3974781  0.01025   ],[ 0.        -1.2752999  0.       ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],1.2752999,0.0,True,0.09809994697570801,0.012753009796142578
13,2,pipe,[0.08691333 1.3837441  0.01025   ],[ 0.        -1.3733999  0.       ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],1.3733999,0.0,True,0.09809994697570801,0.013733983039855957
14,2,pipe,[0.08691333 1.3690292  0.01025   ],[ 0.        -1.4714998  0.       ],[0. 0. 0.],[0.8687341 0.8687341 0.8687341],1.4714998,0.0,True,0.09809994697570801,0.014714956283569336
15,2,pipe,[0.08656794 1.3597338  0.0095225 ],[-0.09837602 -1.0245546  -0.11671339],[-0.20587127  0.02160034  0.19940284],[0.8687341 0.8687341 0.8687341],1.0358629,0.28742138,True,0.47229212522506714,0.009330165572464466
16,2,pipe,[0.08504751 1.3588464  0.00770375],[-0.2586205  -0.33384204 -0.2844266 ],[-0.51538026  0.02819966  0.42210898],[0.8687341 0.8687341 0.8687341],0.50914985,0.66677433,True,0.7286219000816345,0.0025312050711363554
17,2,pipe,[0.08274953 1.3598237  0.00514582],[-0.30793992 -0.19547692 -0.344236  ],[-0.5733197   0.04075941  0.48751634],[0.8687341 0.8687341 0.8687341],0.5015343,0.75367695,True,0.15860161185264587,0.003574747359380126
