frame,object_id,model_name,"position(x,y,z)","velocity(x,y,z)","angular_velocity(x,y,z)","scale(x,y,z)",speed,angular_speed,is_target,vel_change_magnitude,pos_change_magnitude
0,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
1,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
2,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
3,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
4,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
5,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
6,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
7,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
8,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
9,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
10,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
11,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
12,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
13,1,cube,[1.7        0.         0.05341726],[0. 0. 0.],[0. 0. 0.],[1.   0.01 1.  ],0.0,0.0,False,0.0,0.0
