frame,object_id,model_name,"position(x,y,z)","velocity(x,y,z)","angular_velocity(x,y,z)","scale(x,y,z)",speed,angular_speed,is_target,vel_change_magnitude,pos_change_magnitude
0,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
1,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
2,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
3,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
4,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
5,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
6,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
7,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
8,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
9,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
10,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
11,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
12,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
13,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
14,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
15,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
16,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
17,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
18,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
19,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
20,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
21,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
22,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
23,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
24,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
25,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
26,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
27,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
28,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
29,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
30,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
31,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
32,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
33,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
34,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
35,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
36,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
37,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
38,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
39,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
40,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
41,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
42,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
43,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
44,1,cube,[1.25 0.   0.  ],[0. 0. 0.],[0. 0. 0.],[2.05 0.01 2.05],0.0,0.0,False,0.0,0.0
0,2,ramp_with_platform_30,[-8.2028508e-01  1.1496918e+00  1.4901161e-08],[ 0.     -0.0981  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.0981,0.0,True,0.0,0.0
1,2,ramp_with_platform_30,[-8.2028508e-01  1.1477299e+00  1.4901161e-08],[ 0.     -0.1962  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.1962,0.0,True,0.09809999912977219,0.001961946487426758
2,2,ramp_with_platform_30,[-8.2028508e-01  1.1447868e+00  1.4901161e-08],[ 0.     -0.2943  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.2943,0.0,True,0.09809999167919159,0.0029430389404296875
3,2,ramp_with_platform_30,[-8.2028508e-01  1.1408628e+00  1.4901161e-08],[ 0.     -0.3924  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.3924,0.0,True,0.09810000658035278,0.003924012184143066
4,2,ramp_with_platform_30,[-8.2028508e-01  1.1359578e+00  1.4901161e-08],[ 0.     -0.4905  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.4905,0.0,True,0.09810000658035278,0.004904985427856445
5,2,ramp_with_platform_30,[-8.2028508e-01  1.1300719e+00  1.4901161e-08],[ 0.     -0.5886  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.5886,0.0,True,0.0980999767780304,0.005885958671569824
6,2,ramp_with_platform_30,[-8.2028508e-01  1.1232048e+00  1.4901161e-08],[ 0.     -0.6867  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.6867,0.0,True,0.09810000658035278,0.006867051124572754
7,2,ramp_with_platform_30,[-8.2028508e-01  1.1153568e+00  1.4901161e-08],[ 0.     -0.7848  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.7848,0.0,True,0.09810000658035278,0.007848024368286133
8,2,ramp_with_platform_30,[-8.2028508e-01  1.1065278e+00  1.4901161e-08],[ 0.     -0.8829  0.    ],[0. 0. 0.],[0.2 1.  0.5],0.8829,0.0,True,0.09810000658035278,0.008828997611999512
9,2,ramp_with_platform_30,[-8.2028508e-01  1.0967178e+00  1.4901161e-08],[ 0.    -0.981  0.   ],[0. 0. 0.],[0.2 1.  0.5],0.981,0.0,True,0.09810000658035278,0.00980997085571289
